Founded Year,Company,Employees,Website,Industry,Keywords,SEO Description
1850,Northfield Township of Illinois,11,http://www.northfieldtownship.com,government administration,"social services, assessor, food pantry, voter registration, passports, road district","Northfield Township, located within northern Cook County, Illinois, is committed to offering general and emergency assistance services to its residents."
1900,Pioneer Millworks,56,http://www.pioneermillworks.com,building materials,"reclaimed wood flooring, paneling, siding, reclaimed timbers, sustainably harvested freshsawn flooring, fsccertified freshsawn timbers, reclaimed wood table tops, reclaimed wood stair treads, reclaimed wood millworks, barn siding, reclaimed timber mantles, should sugi ban siding or paneling, reclaimed indonesian teak, engineered reclaimed wood flooring, barnwood, custom color wood flooring or paneling, wide oak flooring or paneling, herringbone wood flooring or paneling, reclaimed & sustainable wood options for hospitality designers, reclaimed & sustainable wood options for retail designers, reclaimed & sustainable wood options for restaurant designers, reclaimed & sustainable wood options for highend builders, reclaimed & sustainable timbers for builders, reclaimed & sustainable timbers for timber framers, flooring, home services","30+ years of experience crafting flooring, paneling, siding, and custom woodworking, our goal is to get you quality reclaimed and sustainable wood products."
1901,Accordex Systems,13,http://www.acordex.com,transportation/trucking/railroad,"ltl trucking, overnight service, same day service, third party & blind drop shipments, distribution services","Acordex specializes in document imaging 
 products for transportation, trucking, vital records, supply, healthcare and clinics. 
 Technology expertise includes imaging, database, internet and mobility."
1904,Family Houston,76,http://www.familyhouston.org,individual & family services,"counseling, financial stability, case management, community service/non-profit, counseling & mental health, health & medical, local services","Family Houston provides counseling, financial and employment coaching, and other services to people throughout the greater Houston area."
1905,Neighborhood House,66,http://www.nhpdx.org,individual & family services,"head start, aging services, food assistance, youth programs, parenting support, homeless family support, childcare, small business development, housing","[et_pb_slide heading=""OUR VISION"" button_text=""READ MORE"" button_link=""http://nhpdx.org/about/"" admin_title=""OUR VISION"" _builder_version=""4.16"" header_font=""||||||||"" body_font=""||||||||"" background_image=""http://nhpdx.org/wp-content/uploads/2019/03/Asset-6-100.jpg"" custom_button=""on"" button_text_size=""16px"" button_border_width=""0px"" button_font=""||||||||"" button_alignment=""right"" text_orientation=""left"" hover_transition_delay=""50ms"" custom_css_main_element=""min-height: 640px !important;||z-index: 2;||position: relative;||width: 100% !important;"" custom_css_slide_container=""margin-top: 300px;||margin-bottom: -300px;"" custom_css_slide_description=""background: #00A0B0 !important;||max-width:"
1913,MACNY,35,http://www.macny.org,nonprofit organization management,"manufacturing, buying groups, human resource services, legislative advocacy, networking, consulting, workforce development, training",MACNY is a not-for-profit 501(c)(6) association representing over 300 businesses and organizations across Central and Upstate New York.
1918,GSM AND CO,19,http://www.gsmaccountants.co.uk,accounting,"audit, accountancy, personal tax, business strategy consulting, advisory services, corporation tax, bookkeeping, smes, startups, charities",Looking for expert accounting services in Central London? GSM Accounts cover every aspect of accountancy. Click here to get in touch.
1919,Coast,86,http://www.coastportland.com,mechanical or industrial engineering,"portable led lighting, led knives, multitools, professional, outdoor lights, knives, tools, portable power, rechargeable batteries, headlamps, flashlights, lanterns, work lights, led safety gear","Roll up your sleeves, show some grit, and keep on going. Shop our innovative LED Flashlights, Headlamps, Area Lights, Knives and Multi-Tools that make work and play easier, safer and more enjoyable."
1927,Equitable Bank,97,http://www.theequitablebank.com,banking,"mortgage, savings, checking, loan, business banking, banks & credit unions, financial services","The Equitable Bank specializes in mortgage lending, personal and business banking in the Greater Milwaukee Area. Visit the nearest branch to learn more about our services."
1929,N.GopalDaas Jewellers,10,http://www.gopaldasjewellers.com,luxury goods & jewelry,"gemologists, government approved valuers, all the partners are fully qualified diamond graders, a modern jewelry showroom launched in chennai located in royapettah, specialize in def color purity of diamonds since 1929, n gopaldas is the pioneer in manufacturing openset diamond jewelry in trichy & is the only jeweler, maintenance, safety & care of the diamonds, only company to deal in diamonds & diamond jewelry since 1929 in trichy","Discover exquisite traditional South Indian jewelry at Gopaldas Jewellers. Shop authentic gold, silver, diamond, and platinum pieces crafted with timeless elegance. Experience the heritage of India."
